material_id,formula,band_gap,elements,nelements,nsites,volume,density,formation_energy_per_atom,energy_above_hull,is_stable
mp-554873,Ag2B8O13,3.2651,"['Ag', 'B', 'O']",3,92,996.2222434020954,3.401789524466849,-2.5106557157246367,0.0,True
mp-24058,AgBH2OF4,3.044,"['Ag', 'B', 'F', 'H', 'O']",5,72,777.8111799718515,3.632520556994449,-2.162864122314816,0.0,True
mp-24072,AgH5S2O9,3.5225000000000004,"['Ag', 'H', 'O', 'S']",4,68,778.0261691977662,2.740715054316146,-1.4486150450245106,0.0,True
mp-555903,Al(IO3)3,3.3466,"['Al', 'I', 'O']",3,26,363.7522624294848,5.036955884461228,-1.3017925411538454,0.0,True
mp-1019377,Al(PO3)3,5.8176,"['Al', 'O', 'P']",3,52,724.1258853230242,2.420639795469753,-2.841152989725276,0.0,True
mp-758571,Al11TlO17,4.585100000000001,"['Al', 'O', 'Tl']",3,58,639.0582303749583,4.018034575700057,-3.308075045114943,0.0,True
mp-2206289,Al11TlO17,5.323600000000001,"['Al', 'O', 'Tl']",3,58,619.1690056582605,4.147103685854559,-3.2150562399568954,0.0,True
mp-19521,Al2(MoO4)3,3.5374,"['Al', 'Mo', 'O']",3,68,1026.224932336994,3.4548203623124625,-2.403986258676472,0.0,True
mp-756970,Al2(SeO4)3,3.0578000000000003,"['Al', 'O', 'Se']",3,34,443.33145790174905,3.6170130663028495,-1.7608418939430153,0.0,True
mp-561437,Al2Ge(O2F)2,4.0818,"['Al', 'F', 'Ge', 'O']",4,36,377.91781409707386,4.017752415101493,-3.171815519166666,0.0,True
mp-707424,Al2H12(SeO5)3,4.7445,"['Al', 'H', 'O', 'Se']",4,64,707.0629573365102,2.550141822420906,-1.6108465986572271,0.0,True
mp-850293,Al2H16S3O20,5.6055,"['Al', 'H', 'O', 'S']",4,164,1584.370676729934,2.0386025092125664,-1.7330980639024391,0.0,True
mp-1196041,Al2H32S3O28,4.6645,"['Al', 'H', 'O', 'S']",4,130,1232.5565538738051,1.698577020594147,-1.5678861953461531,0.0,True
mp-37614,Al2NiO4,3.1956000000000007,"['Al', 'Ni', 'O']",3,28,258.8135604925488,4.533626388298227,-2.8027414935714297,0.0,True
mp-1143,Al2O3,5.8743,"['Al', 'O']",2,10,87.42001939959368,3.8734991245808144,-3.426551008000001,0.0,True
mp-21892,Al2PbO4,3.9433,"['Al', 'O', 'Pb']",3,14,198.4327527414789,5.442065392002385,-2.8937835900000146,0.0,True
mp-6280,Al2Si(O2F)2,5.706199999999999,"['Al', 'F', 'O', 'Si']",4,36,355.6066417648658,3.437624934243816,-3.529615748611111,0.0,True
