material_id,formula,band_gap,MagpieData minimum Number,MagpieData maximum Number,MagpieData range Number,MagpieData mean Number,MagpieData avg_dev Number,MagpieData mode Number,MagpieData minimum MendeleevNumber,MagpieData maximum MendeleevNumber,MagpieData range MendeleevNumber,MagpieData mean MendeleevNumber,MagpieData avg_dev MendeleevNumber,MagpieData mode MendeleevNumber,MagpieData minimum AtomicWeight,MagpieData maximum AtomicWeight,MagpieData range AtomicWeight,MagpieData mean AtomicWeight,MagpieData avg_dev AtomicWeight,MagpieData mode AtomicWeight,MagpieData minimum MeltingT,MagpieData maximum MeltingT,MagpieData range MeltingT,MagpieData mean MeltingT,MagpieData avg_dev MeltingT,MagpieData mode MeltingT,MagpieData minimum Column,MagpieData maximum Column,MagpieData range Column,MagpieData mean Column,MagpieData avg_dev Column,MagpieData mode Column,MagpieData minimum Row,MagpieData maximum Row,MagpieData range Row,MagpieData mean Row,MagpieData avg_dev Row,MagpieData mode Row,MagpieData minimum CovalentRadius,MagpieData maximum CovalentRadius,MagpieData range CovalentRadius,MagpieData mean CovalentRadius,MagpieData avg_dev CovalentRadius,MagpieData mode CovalentRadius,MagpieData minimum Electronegativity,MagpieData maximum Electronegativity,MagpieData range Electronegativity,MagpieData mean Electronegativity,MagpieData avg_dev Electronegativity,MagpieData mode Electronegativity,MagpieData minimum NsValence,MagpieData maximum NsValence,MagpieData range NsValence,MagpieData mean NsValence,MagpieData avg_dev NsValence,MagpieData mode NsValence,MagpieData minimum NpValence,MagpieData maximum NpValence,MagpieData range NpValence,MagpieData mean NpValence,MagpieData avg_dev NpValence,MagpieData mode NpValence,MagpieData minimum NdValence,MagpieData maximum NdValence,MagpieData range NdValence,MagpieData mean NdValence,MagpieData avg_dev NdValence,MagpieData mode NdValence,MagpieData minimum NfValence,MagpieData maximum NfValence,MagpieData range NfValence,MagpieData mean NfValence,MagpieData avg_dev NfValence,MagpieData mode NfValence,MagpieData minimum NValence,MagpieData maximum NValence,MagpieData range NValence,MagpieData mean NValence,MagpieData avg_dev NValence,MagpieData mode NValence,MagpieData minimum NsUnfilled,MagpieData maximum NsUnfilled,MagpieData range NsUnfilled,MagpieData mean NsUnfilled,MagpieData avg_dev NsUnfilled,MagpieData mode NsUnfilled,MagpieData minimum NpUnfilled,MagpieData maximum NpUnfilled,MagpieData range NpUnfilled,MagpieData mean NpUnfilled,MagpieData avg_dev NpUnfilled,MagpieData mode NpUnfilled,MagpieData minimum NdUnfilled,MagpieData maximum NdUnfilled,MagpieData range NdUnfilled,MagpieData mean NdUnfilled,MagpieData avg_dev NdUnfilled,MagpieData mode NdUnfilled,MagpieData minimum NfUnfilled,MagpieData maximum NfUnfilled,MagpieData range NfUnfilled,MagpieData mean NfUnfilled,MagpieData avg_dev NfUnfilled,MagpieData mode NfUnfilled,MagpieData minimum NUnfilled,MagpieData maximum NUnfilled,MagpieData range NUnfilled,MagpieData mean NUnfilled,MagpieData avg_dev NUnfilled,MagpieData mode NUnfilled,MagpieData minimum GSvolume_pa,MagpieData maximum GSvolume_pa,MagpieData range GSvolume_pa,MagpieData mean GSvolume_pa,MagpieData avg_dev GSvolume_pa,MagpieData mode GSvolume_pa,MagpieData minimum GSbandgap,MagpieData maximum GSbandgap,MagpieData range GSbandgap,MagpieData mean GSbandgap,MagpieData avg_dev GSbandgap,MagpieData mode GSbandgap,MagpieData minimum GSmagmom,MagpieData maximum GSmagmom,MagpieData range GSmagmom,MagpieData mean GSmagmom,MagpieData avg_dev GSmagmom,MagpieData mode GSmagmom,MagpieData minimum SpaceGroupNumber,MagpieData maximum SpaceGroupNumber,MagpieData range SpaceGroupNumber,MagpieData mean SpaceGroupNumber,MagpieData avg_dev SpaceGroupNumber,MagpieData mode SpaceGroupNumber,e_total,e_electronic,e_ionic
mp-555903,Al(IO3)3,3.3466,8.0,53.0,45.0,18.76923076923077,15.798816568047338,8.0,73.0,96.0,23.0,88.0,3.692307692307693,87.0,15.9994,126.90447,110.90507,42.437657584615394,38.984682653254445,15.9994,54.8,933.47,878.6700000000001,199.0169230769231,199.6849704142012,54.8,13.0,17.0,4.0,16.0,0.4615384615384615,16.0,2.0,5.0,3.0,2.769230769230769,1.0650887573964498,2.0,66.0,139.0,73.0,87.07692307692308,29.183431952662723,66.0,1.61,3.44,1.83,3.119230769230769,0.4441420118343195,3.44,2.0,2.0,0.0,2.0,0.0,2.0,1.0,5.0,4.0,4.0,0.4615384615384615,4.0,0.0,10.0,10.0,2.3076923076923075,3.550295857988165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,17.0,14.0,8.307692307692308,4.011834319526627,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,4.0,2.0,0.4615384615384615,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,4.0,2.0,0.4615384615384615,2.0,9.105,43.015,33.91,17.49769230769231,11.777218934911245,9.105,0.0,1.062,1.062,0.245076923076923,0.3770414201183432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,225.0,213.0,40.38461538461539,39.30177514792899,12.0,8.33793544,4.035756816666668,4.302178623333334
mp-1143,Al2O3,5.8743,8.0,13.0,5.0,10.0,2.4,8.0,73.0,87.0,14.0,81.4,6.719999999999999,87.0,15.9994,26.9815386,10.9821386,20.39225544,5.271426528000001,15.9994,54.8,933.47,878.6700000000001,406.268,421.7616,54.8,13.0,16.0,3.0,14.8,1.44,16.0,2.0,3.0,1.0,2.4,0.48,2.0,66.0,121.0,55.0,88.0,26.4,66.0,1.61,3.44,1.83,2.708,0.8783999999999998,3.44,2.0,2.0,0.0,2.0,0.0,2.0,1.0,4.0,3.0,2.8,1.44,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,3.0,4.8,1.44,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,3.0,3.2,1.44,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,3.0,3.2,1.44,2.0,9.105,16.48,7.375,12.055,3.5400000000000005,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,225.0,213.0,97.2,102.24,12.0,9.706237702841708,3.2185079433333357,6.487729759508372
mp-21892,Al2PbO4,3.9433,8.0,82.0,74.0,20.0,17.714285714285715,8.0,73.0,87.0,14.0,82.14285714285714,5.551020408163266,87.0,15.9994,207.2,191.2006,46.45152531428571,45.92813562448979,15.9994,54.8,933.47,878.6700000000001,383.82142857142856,376.0244897959184,54.8,13.0,16.0,3.0,14.857142857142858,1.3061224489795915,16.0,2.0,6.0,4.0,2.857142857142857,0.979591836734694,2.0,66.0,146.0,80.0,93.14285714285714,31.020408163265305,66.0,1.61,3.44,1.83,2.758571428571429,0.7787755102040814,3.44,2.0,2.0,0.0,2.0,0.0,2.0,1.0,4.0,3.0,2.857142857142857,1.3061224489795915,4.0,0.0,10.0,10.0,1.4285714285714286,2.4489795918367347,0.0,0.0,14.0,14.0,2.0,3.4285714285714284,0.0,3.0,28.0,25.0,8.285714285714286,5.63265306122449,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,3.0,3.142857142857143,1.3061224489795915,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,3.0,3.142857142857143,1.3061224489795915,2.0,9.105,28.11,19.005,13.927142857142858,5.511020408163266,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,225.0,213.0,103.28571428571428,104.3265306122449,12.0,18.512909993333334,3.656604273333334,14.85630572
mp-2908,Al2ZnO4,3.846,8.0,30.0,22.0,12.571428571428571,5.224489795918367,8.0,69.0,87.0,18.0,80.42857142857143,7.5102040816326525,87.0,15.9994,65.38,49.3806,26.191525314285716,11.648143216326533,15.9994,54.8,933.47,878.6700000000001,396.97428571428566,391.0563265306122,54.8,12.0,16.0,4.0,14.571428571428571,1.6326530612244898,16.0,2.0,4.0,2.0,2.571428571428572,0.6530612244897959,2.0,66.0,122.0,56.0,89.71428571428571,27.10204081632653,66.0,1.61,3.44,1.83,2.6614285714285715,0.8897959183673468,3.44,2.0,2.0,0.0,2.0,0.0,2.0,0.0,4.0,4.0,2.571428571428572,1.6326530612244898,4.0,0.0,10.0,10.0,1.4285714285714286,2.4489795918367347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,12.0,9.0,6.0,1.7142857142857142,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,2.571428571428572,1.3877551020408163,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,2.571428571428572,1.3877551020408163,2.0,9.105,16.48,7.375,11.905714285714286,3.2008163265306124,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,225.0,213.0,98.85714285714286,99.265306122449,12.0,9.281930786666607,3.447734146666646,5.83419663999996
mp-31408,Al4(B2O5)3,5.8127,5.0,13.0,8.0,8.08,1.5744,8.0,72.0,87.0,15.0,81.16,7.008000000000001,87.0,10.811,26.9815386,16.1705386,16.511326176,3.350467975680001,15.9994,54.8,2348.0,2293.2,745.7552000000001,829.1462399999999,54.8,13.0,16.0,3.0,14.8,1.44,16.0,2.0,3.0,1.0,2.16,0.2688000000000001,2.0,66.0,121.0,55.0,79.12,15.744000000000002,66.0,1.61,3.44,1.83,2.8112,0.7545599999999999,3.44,2.0,2.0,0.0,2.0,0.0,2.0,1.0,4.0,3.0,2.8,1.44,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,3.0,4.8,1.44,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,3.0,3.2,1.44,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,3.0,3.2,1.44,2.0,7.1725,16.48,9.3075,9.8212,2.1308160000000003,9.105,0.0,1.524,1.524,0.36576,0.5559552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,225.0,213.0,83.04,85.24799999999999,12.0,5.81064330665891,2.694546816666667,3.1160964899922425
mp-13703,Al4CO4,3.8233,6.0,13.0,7.0,10.0,2.6666666666666665,8.0,73.0,87.0,14.0,79.66666666666667,6.518518518518519,73.0,12.0107,26.9815386,14.9708386,20.4371616,5.817224,15.9994,54.8,3823.0,3768.2,864.0088888888889,719.2967901234567,54.8,13.0,16.0,3.0,14.444444444444445,1.382716049382716,13.0,2.0,3.0,1.0,2.4444444444444446,0.4938271604938272,2.0,66.0,121.0,55.0,91.55555555555556,26.17283950617284,66.0,1.61,3.44,1.83,2.5277777777777777,0.8158024691358023,1.61,2.0,2.0,0.0,2.0,0.0,2.0,1.0,4.0,3.0,2.4444444444444446,1.382716049382716,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,3.0,4.444444444444445,1.382716049382716,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,3.0,3.555555555555556,1.382716049382716,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,3.0,3.555555555555556,1.382716049382716,2.0,5.64,16.48,10.84,11.997777777777776,3.9841975308641975,9.105,0.0,4.496,4.496,0.4995555555555556,0.8880987654320989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,225.0,213.0,126.88888888888889,102.12345679012346,12.0,6.25285082,3.318605493333333,2.9342453266666664
mp-1190488,Al4CdO7,3.0642,8.0,48.0,40.0,13.0,5.833333333333333,8.0,70.0,87.0,17.0,80.91666666666667,7.097222222222221,87.0,15.9994,112.411,96.4116,27.694412866666667,14.119431188888887,15.9994,54.8,933.47,878.6700000000001,392.6416666666667,394.1486111111112,54.8,12.0,16.0,4.0,14.666666666666666,1.5555555555555556,16.0,2.0,5.0,3.0,2.583333333333333,0.6805555555555555,2.0,66.0,144.0,78.0,90.83333333333331,28.972222222222225,66.0,1.61,3.44,1.83,2.6841666666666666,0.8818055555555556,3.44,2.0,2.0,0.0,2.0,0.0,2.0,0.0,4.0,4.0,2.6666666666666665,1.5555555555555554,4.0,0.0,10.0,10.0,0.8333333333333334,1.527777777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,12.0,9.0,5.5,1.6666666666666667,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,2.833333333333333,1.4444444444444446,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,2.833333333333333,1.4444444444444446,2.0,9.105,19.495,10.39,12.429166666666667,3.878194444444445,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,225.0,213.0,98.16666666666669,100.5277777777778,12.0,10.144908426666667,3.03292873,7.111979696666666
mp-3281,Al5BO9,4.9385,5.0,13.0,8.0,9.466666666666669,2.355555555555556,8.0,72.0,87.0,15.0,81.33333333333333,6.800000000000001,87.0,10.811,26.9815386,16.1705386,19.314219533333336,5.111546044444446,15.9994,54.8,2348.0,2293.2,500.57,534.9240000000001,54.8,13.0,16.0,3.0,14.8,1.44,16.0,2.0,3.0,1.0,2.333333333333333,0.4444444444444445,2.0,66.0,121.0,55.0,85.53333333333333,23.64444444444444,66.0,1.61,3.44,1.83,2.7366666666666664,0.844,3.44,2.0,2.0,0.0,2.0,0.0,2.0,1.0,4.0,3.0,2.8,1.4400000000000002,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,3.0,4.8,1.4400000000000002,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,3.0,3.2,1.4400000000000002,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,3.0,3.2,1.4400000000000002,2.0,7.1725,16.48,9.3075,11.434500000000002,3.363666666666667,9.105,0.0,1.524,1.524,0.1016,0.1896533333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,225.0,213.0,93.26666666666668,97.52,12.0,6.8018227,2.7023490900000002,4.0994736099999995
mp-643387,AlH2PbO2F3,4.496700000000001,1.0,82.0,81.0,15.555555555555555,14.765432098765432,9.0,73.0,93.0,20.0,87.88888888888889,5.234567901234568,93.0,1.00794,207.2,206.19206,36.13238091111111,38.015026464197526,18.9984032,14.01,933.47,919.46,203.57777777777773,250.42765432098764,53.5,1.0,17.0,16.0,12.444444444444445,5.08641975308642,17.0,1.0,6.0,5.0,2.333333333333333,0.9629629629629632,2.0,31.0,146.0,115.0,70.22222222222223,28.12345679012346,57.0,1.61,3.98,2.37,3.017777777777777,0.8291358024691359,3.98,1.0,2.0,1.0,1.7777777777777777,0.345679012345679,2.0,0.0,5.0,5.0,2.888888888888889,1.901234567901235,5.0,0.0,10.0,10.0,1.1111111111111112,1.9753086419753088,0.0,0.0,14.0,14.0,1.5555555555555556,2.765432098765432,0.0,1.0,28.0,27.0,7.333333333333333,4.592592592592593,7.0,0.0,1.0,1.0,0.2222222222222222,0.345679012345679,0.0,0.0,5.0,5.0,1.7777777777777777,1.308641975308642,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,4.0,2.0,1.1111111111111112,1.0,6.615,28.11,21.495,11.683611111111112,4.716172839506173,9.7075,0.0,7.853,7.853,2.401777777777778,2.4227654320987653,1.97,0.0,0.0,0.0,0.0,0.0,0.0,12.0,225.0,213.0,100.77777777777776,96.64197530864196,15.0,11.975357983333337,2.90261213,9.072745853333336
mp-625152,AlHO2,5.5638000000000005,1.0,13.0,12.0,7.5,3.25,8.0,73.0,92.0,19.0,84.75,5.875,87.0,1.00794,26.9815386,25.9735986,14.99706965,6.994564825,15.9994,14.01,933.47,919.46,264.27,334.6,54.8,1.0,16.0,15.0,11.5,5.25,16.0,1.0,3.0,2.0,2.0,0.5,2.0,31.0,121.0,90.0,71.0,25.0,66.0,1.61,3.44,1.83,2.6725000000000003,0.7674999999999998,3.44,1.0,2.0,1.0,1.75,0.375,2.0,0.0,4.0,4.0,2.25,1.75,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,5.0,4.0,2.0,6.0,0.0,1.0,1.0,0.25,0.375,0.0,0.0,5.0,5.0,2.25,1.375,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,4.0,2.5,1.25,2.0,6.615,16.48,9.865,10.32625,3.076875,9.105,0.0,7.853,7.853,1.96325,2.944875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,225.0,213.0,110.75,98.75,12.0,8.867470566666666,3.094536156666667,5.77293441
